rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/kl_divergence_loss,train/policy_objective,train/n_updates,train/learning_rate,train/is_line_search_success,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
373.0,6490,160,509,168.57853006999997,1042432,0.006405247375369072,0.007365146651864052,508,0.001,1.0,112.4469714641571,0.8758794590830803,,
373.0,6504,160,510,168.57853006999997,1044480,0.007935363799333572,0.010083137080073357,509,0.001,1.0,91.7008842408657,0.8645653426647186,,
371.28,6511,160,511,165.64348024,1046528,0.006515716668218374,0.023300565779209137,510,0.001,1.0,2.2510056879371403,0.7598457485437393,,
391.46,6522,160,512,166.06099915,1048576,0.004148988984525204,0.0064129699021577835,511,0.001,1.0,57.29538841247559,0.8538922816514969,,
372.96,6529,160,513,163.10645399,1050624,0.007316515780985355,0.005432991776615381,512,0.001,1.0,59.157047712802886,0.8429470658302307,,
371.21,6535,161,514,160.76322328,1052672,0.00598115473985672,0.008879458531737328,513,0.001,1.0,126.11796491146087,0.8673449754714966,,
371.39,6544,161,515,160.63469526000003,1054720,0.006479160860180855,0.010186604224145412,514,0.001,1.0,65.1380619764328,0.8804736062884331,,
376.89,6557,161,516,156.70361144999998,1056768,0.003966314252465963,0.010637743398547173,515,0.001,1.0,59.308741343021396,0.9217126667499542,,
347.12,6563,161,517,159.76246915000002,1058816,0.007755153346806765,0.024477876722812653,516,0.001,1.0,43.61953702270985,0.943132933229208,,
347.27,6572,161,518,159.86318484,1060864,0.005510067101567984,0.016662612557411194,517,0.001,1.0,176.47799315452576,0.8206514418125153,,
373.26,6582,161,519,151.2429052,1062912,0.0041028400883078575,0.007217463105916977,518,0.001,1.0,12.991434341296554,0.9730673544108868,,
372.09,6590,161,520,151.17536637000003,1064960,0.007108578458428383,0.010073318146169186,519,0.001,1.0,67.88755620121955,0.9519264213740826,,
398.83,6600,161,521,147.69063423,1067008,0.006934722885489464,0.0174446702003479,520,0.001,1.0,33.37281293570995,0.8565060645341873,,
399.48,6609,161,522,144.72656768000002,1069056,0.0058448282070457935,0.013859537430107594,521,0.001,1.0,20.817706687748434,0.9241016134619713,,
427.74,6620,161,523,138.69223401000002,1071104,0.0089956633746624,0.006500557065010071,522,0.001,1.0,67.1456672847271,0.710771232843399,,
449.52,6630,161,524,137.04753946,1073152,0.0066205235198140144,0.016297906637191772,523,0.001,1.0,7.014621356129647,0.8693077713251114,,
425.48,6637,161,525,141.79908239,1075200,0.009998477064073086,0.011703332886099815,524,0.001,1.0,28.862297902256252,0.7377643287181854,,
375.52,6644,162,526,139.80403275999998,1077248,0.007288737688213587,0.011008521541953087,525,0.001,1.0,38.50593511462212,0.9264142587780952,,
375.88,6652,162,527,134.64101469,1079296,0.006402800790965557,0.012197433039546013,526,0.001,1.0,92.70629251003265,0.8999854549765587,,
347.56,6659,162,528,139.37049695,1081344,0.006847533397376537,0.013961014337837696,527,0.001,1.0,73.57725230455398,0.8855885192751884,,
331.22,6666,162,529,146.73669324,1083392,0.005726671312004328,0.006987378932535648,528,0.001,1.0,112.46426877975463,0.8722735941410065,,
354.79,6678,162,530,141.14545889,1085440,0.0048382701352238655,0.008647278882563114,529,0.001,1.0,27.492687892913818,0.9438144750893116,,
368.37,6687,162,531,142.54779216,1087488,0.005720349494367838,0.009065892547369003,530,0.001,1.0,48.58663066327572,0.9364471510052681,,
381.78,6697,162,532,142.48872528,1089536,0.009804490953683853,0.0063725365325808525,531,0.001,1.0,55.84353915452957,0.6207734644412994,,
392.55,6706,162,533,144.50507334,1091584,0.006095947697758675,0.007881907746195793,532,0.001,1.0,51.45417960584164,0.9184562638401985,,
366.26,6713,162,534,155.59985591,1093632,0.007300637662410736,0.007634787354618311,533,0.001,1.0,75.59922256469727,0.9399359859526157,,
366.35,6720,163,535,155.27279785,1095680,0.005245814565569162,0.008424297906458378,534,0.001,1.0,65.42777296304703,0.9156582280993462,,
395.57,6728,163,536,154.394477,1097728,0.007846739143133163,0.05395872890949249,535,0.001,1.0,6.447984356433153,0.7835255265235901,,
395.36,6736,163,537,156.14116221000003,1099776,0.005923070944845676,0.018609536811709404,536,0.001,1.0,72.95686934888363,0.8177401721477509,,
