train/delta_std,train/iterations,rollout/return_std,rollout/ep_rew_mean,rollout/ep_len_mean,train/step_size,train/learning_rate,time/total_timesteps,time/time_elapsed,time/fps,eval/mean_ep_length,eval/mean_reward
,,,,,,,200000,,,72.2,-121.91342421004666
0.05,177,40.60625076293945,-130.94604318749998,70.8125,6.156687595648691e-05,0.02,200127,264,758,,
0.05,178,19.388826370239258,-128.91960075,63.125,0.00012894024257548153,0.02,201137,265,758,,
0.05,179,31.077835083007812,-137.960532125,71.625,8.044318383326754e-05,0.02,202283,266,760,,
0.05,180,31.675628662109375,-136.159318625,71.5,7.892503344919533e-05,0.02,203427,267,761,,
0.05,181,64.71460723876953,-144.72440275000002,66.0,3.863115489366464e-05,0.02,204483,267,763,,
0.05,182,77.992431640625,-122.2463848125,77.8125,3.2054391340352595e-05,0.02,205728,269,764,,
0.05,183,57.34956741333008,-150.8008018125,74.375,4.359230661066249e-05,0.02,206918,270,765,,
0.05,184,49.75065612792969,-136.7895876875,68.25,5.025059363106266e-05,0.02,208010,271,767,,
0.05,185,32.78578186035156,-124.94520256249999,66.1875,7.625256694154814e-05,0.02,209069,272,768,,
0.05,186,43.013938903808594,-130.6957564375,72.25,5.812069139210507e-05,0.02,210225,273,769,,
0.05,187,49.00164794921875,-122.65776062500001,77.5,5.101869101054035e-05,0.02,211465,274,771,,
0.05,188,40.75054168701172,-142.81969099999998,70.625,6.134887371445075e-05,0.02,212595,275,772,,
0.05,189,56.131317138671875,-144.405425625,71.0625,4.453841393114999e-05,0.02,213732,276,773,,
0.05,190,53.0137825012207,-115.35920156249999,66.8125,4.7157544031506404e-05,0.02,214801,277,775,,
0.05,191,25.30526351928711,-135.423878875,67.25,9.879367280518636e-05,0.02,215877,282,762,,
0.05,192,27.234540939331055,-141.574882375,67.0,9.179519111057743e-05,0.02,216949,286,756,,
0.05,193,59.27265548706055,-91.5433559375,70.0625,4.217796231387183e-05,0.02,218070,288,756,,
0.05,194,48.40901184082031,-127.20798806250001,73.125,5.1643273764057085e-05,0.02,219240,289,757,,
0.05,195,54.9049186706543,-148.192873375,76.875,4.5533259253716096e-05,0.02,220470,290,758,,
0.05,196,31.690832138061523,-137.62541325,67.5625,7.88871620898135e-05,0.02,221551,291,759,,
0.05,197,29.368030548095703,-132.942871625,66.625,8.512657950632274e-05,0.02,222617,292,760,,
0.05,198,39.37744903564453,-121.2446025,66.875,6.348811439238489e-05,0.02,223687,293,761,,
0.05,199,58.725215911865234,-109.5089443125,70.625,4.2571151425363496e-05,0.02,224817,294,762,,
0.05,200,26.7419376373291,-131.14465775000002,71.1875,9.348612366011366e-05,0.02,225956,295,764,,
0.05,201,44.55742263793945,-147.0518910625,73.6875,5.61073720746208e-05,0.02,227135,296,765,,
0.05,202,49.60838317871094,-120.14195918749999,70.8125,5.039470488554798e-05,0.02,228268,297,766,,
0.05,203,43.67158508300781,-128.714680375,70.0,5.7245459174737334e-05,0.02,229388,299,767,,
0.05,204,48.0563850402832,-132.8368115625,69.4375,5.2022220188518986e-05,0.02,230499,300,768,,
0.05,205,45.716854095458984,-126.7345149375,71.5,5.468442395795137e-05,0.02,231643,301,769,,
0.05,206,30.010713577270508,-127.97238762500001,70.75,8.330358105013147e-05,0.02,232775,302,770,,
0.05,207,23.021455764770508,-130.53181193749998,68.375,0.00010859434405574575,0.02,233869,302,771,,
0.05,208,20.516157150268555,-130.3950388125,71.5625,0.00012185517698526382,0.02,235014,303,773,,
0.05,209,29.608577728271484,-125.1732448125,65.5625,8.443498518317938e-05,0.02,236063,304,774,,
0.05,210,60.15779113769531,-147.9055958125,68.8125,4.155737769906409e-05,0.02,237164,305,775,,
0.05,211,63.89725875854492,-152.2071179375,73.3125,3.9125308830989525e-05,0.02,238337,306,776,,
0.05,212,70.1157455444336,-136.8494029375,73.375,3.56553282472305e-05,0.02,239511,307,777,,
0.05,213,64.00562286376953,-139.240710375,73.375,3.905906851287e-05,0.02,240685,308,778,,
0.05,214,56.726253509521484,-119.129822125,67.75,4.407130472827703e-05,0.02,241769,309,780,,
0.05,215,40.74421310424805,-129.86118875,69.6875,6.135840521892533e-05,0.02,242884,310,781,,
0.05,216,75.06390380859375,-138.474327125,72.5625,3.330495746922679e-05,0.02,244045,311,782,,
0.05,217,24.930309295654297,-128.1722438125,69.0,0.00010027953976532444,0.02,245149,312,783,,
0.05,218,38.72270202636719,-123.2940526875,69.125,6.456160917878151e-05,0.02,246255,313,784,,
0.05,219,83.41587829589844,-146.3898828125,75.125,2.9970313335070387e-05,0.02,247457,314,785,,
0.05,220,34.43573760986328,-122.98987525,69.25,7.259899575728923e-05,0.02,248565,316,786,,
0.05,221,54.828216552734375,-126.9702254375,70.625,4.559696026262827e-05,0.02,249695,317,787,,
0.05,222,17.041515350341797,-122.88873500000001,61.875,0.0001467005640733987,0.02,250685,317,788,,
0.05,223,42.40300750732422,-118.8609021875,66.1875,5.895808135392144e-05,0.02,251744,318,789,,
0.05,224,20.153789520263672,-131.24700625,69.6875,0.0001240461424458772,0.02,252859,319,790,,
0.05,225,57.690391540527344,-141.65059875000003,70.4375,4.333477409090847e-05,0.02,253986,320,791,,
0.05,226,30.356882095336914,-138.6049776875,70.75,8.235364657593891e-05,0.02,255118,321,792,,
0.05,227,37.644954681396484,-134.809805375,67.625,6.640996434725821e-05,0.02,256200,322,793,,
0.05,228,35.80107879638672,-120.5924278125,64.4375,6.983029743423685e-05,0.02,257231,323,794,,
0.05,229,29.27753257751465,-145.6694651875,71.875,8.538970723748207e-05,0.02,258381,324,795,,
0.05,230,43.615135192871094,-130.5212263125,69.5625,5.7319550251122564e-05,0.02,259494,325,796,,
0.05,231,34.70652770996094,-138.4055583125,69.125,7.203255518106744e-05,0.02,260600,326,797,,
0.05,232,50.72063064575195,-143.451248125,70.8125,4.928960697725415e-05,0.02,261733,327,798,,
0.05,233,32.3192138671875,-139.150779375,69.25,7.735336839687079e-05,0.02,262841,328,799,,
0.05,234,27.775602340698242,-132.75117899999998,66.3125,9.00070444913581e-05,0.02,263902,329,800,,
0.05,235,41.03538131713867,-126.36152756250002,68.75,6.0923033743165433e-05,0.02,265002,330,801,,
0.05,236,25.91777801513672,-143.123807375,68.1875,9.645888349041343e-05,0.02,266093,331,802,,
0.05,237,60.03601837158203,-137.22742599999998,73.875,4.16416660300456e-05,0.02,267275,332,803,,
0.05,238,48.38228225708008,-114.27659406250001,70.3125,5.1671806431841105e-05,0.02,268400,333,804,,
0.05,239,62.32093811035156,-108.679715625,73.8125,4.011492637800984e-05,0.02,269581,334,805,,
0.05,240,136.2437286376953,-161.54024875,71.625,1.834946669987403e-05,0.02,270727,335,806,,
0.05,241,46.460365295410156,-115.98494331250001,70.25,5.380930087994784e-05,0.02,271851,336,807,,
0.05,242,42.8156852722168,-125.169345375,64.0625,5.8389818150317296e-05,0.02,272876,337,807,,
0.05,243,53.08897399902344,-119.20575481249999,71.4375,4.709075437858701e-05,0.02,274019,338,808,,
0.05,244,26.484514236450195,-140.241655875,71.1875,9.439478162676096e-05,0.02,275158,339,809,,
0.05,245,44.89820861816406,-130.72222812500002,65.75,5.5681506637483835e-05,0.02,276210,340,810,,
0.05,246,42.51705551147461,-132.37468762499998,72.75,5.879993113921955e-05,0.02,277374,341,811,,
0.05,247,41.0330696105957,-126.24868993749999,70.5,6.092646435718052e-05,0.02,278502,342,812,,
0.05,248,35.051753997802734,-142.36168,69.5,7.132310565793887e-05,0.02,279614,343,813,,
0.05,249,32.158653259277344,-141.1714835,70.5,7.773956895107403e-05,0.02,280742,344,814,,
0.05,250,29.53069305419922,-124.76312525,68.25,8.465767314191908e-05,0.02,281834,345,815,,
0.05,251,26.141435623168945,-139.0477521875,68.4375,9.563360799802467e-05,0.02,282929,346,816,,
0.05,252,33.36488723754883,-126.78349162500001,65.0625,7.492907025152817e-05,0.02,283970,347,816,,
0.05,253,91.50647735595703,-156.323523125,67.5625,2.7320471417624503e-05,0.02,285051,348,817,,
0.05,254,29.427236557006836,-128.9249639375,71.0625,8.495531074004248e-05,0.02,286188,349,818,,
0.05,255,85.10557556152344,-129.25277912500002,71.1875,2.9375278245424852e-05,0.02,287327,350,819,,
0.05,256,29.34430503845215,-146.31025593750002,76.0,8.51954027893953e-05,0.02,288543,351,820,,
0.05,257,43.338096618652344,-130.25188987500002,70.8125,5.7685963838594034e-05,0.02,289676,352,821,,
0.05,258,15.862686157226562,-131.5808698125,70.5625,0.00015760255337227136,0.02,290805,353,822,,
0.05,259,56.995872497558594,-110.4239350625,72.625,4.386282307677902e-05,0.02,291967,354,823,,
0.05,260,30.44288444519043,-136.806416625,70.5625,8.21209978312254e-05,0.02,293096,355,824,,
0.05,261,22.548372268676758,-135.7897233125,68.125,0.00011087275197496638,0.02,294186,356,825,,
0.05,262,50.84583282470703,-128.44082643750002,71.875,4.916823672829196e-05,0.02,295336,357,825,,
0.05,263,27.22010612487793,-147.045621375,69.0,9.184387454297394e-05,0.02,296440,359,824,,
0.05,264,47.37108612060547,-117.03517031250001,71.5625,5.277480886434205e-05,0.02,297585,366,811,,
0.05,265,55.723819732666016,-116.917074375,69.875,4.48641185357701e-05,0.02,298703,368,809,,
0.05,266,32.13163375854492,-123.5372629375,68.4375,7.780494343023747e-05,0.02,299798,369,810,,
,,,,,,,300000,,,69.2,-127.9771044978872
