rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/clip_range,train/approx_kl,train/n_updates,train/value_loss,eval/mean_ep_length,eval/mean_reward
,,,100000,,,18.132463455200195,0.0003,0.050732421875,-0.0043744799731939565,0.33274030685424805,-1.0217742623761297,0.2,0.006866788,480,123.5857217669487,2233.4,-646.4186073175224
673.28,1260,79,100352,49,-88.81164885999999,,,,,,,,,,,,
688.1,1278,80,102400,50,-85.41078061999998,19.840251922607422,0.0003,0.08955078125,-0.0035290323139633983,0.6757183074951172,-0.9926624704152346,0.2,0.01233663,490,43.59135781824589,,
709.14,1296,80,104448,51,-80.45900478,59.22492218017578,0.0003,0.064501953125,-0.004394124975078739,0.8734870404005051,-0.7921587493270635,0.2,0.0060469965,500,34.539503410458565,,
727.18,1320,80,106496,52,-76.3435363,38.603973388671875,0.0003,0.054248046875,-0.003514916957647074,0.7943257689476013,-0.8969161730259657,0.2,0.0067686723,510,52.95313885062933,,
745.1,1338,81,108544,53,-74.28316829,39.79459762573242,0.0003,0.043017578125,-0.0017671129218797433,0.8321052938699722,-0.8322398617863656,0.2,0.0034972536,520,52.21064134836197,,
762.74,1356,81,110592,54,-73.29436568999999,6.804376602172852,0.0003,0.037158203125,-0.0020862555251369486,0.8499719202518463,-0.9100505650043488,0.2,0.0036227775,530,43.17561365365982,,
779.3,1372,82,112640,55,-70.12717528,22.30721092224121,0.0003,0.06923828125,-0.005240408676036168,0.8508858382701874,-0.9291195008903742,0.2,0.009381375,540,44.19182063341141,,
797.58,1388,82,114688,56,-67.62511895,6.611013889312744,0.0003,0.070703125,-0.004913059853424784,0.9081141352653503,-0.8939751788973809,0.2,0.006986269,550,35.74771692454815,,
815.14,1411,82,116736,57,-68.49745623,32.431236267089844,0.0003,0.04931640625,-0.0017726112986565568,0.9049825966358185,-0.8680840894579888,0.2,0.0054068626,560,33.00028844624758,,
815.14,1431,83,118784,58,-68.49745623,13.39592170715332,0.0003,0.024072265625,-0.0026860507055971538,0.4600219130516052,-0.9227071937173605,0.2,0.0042603305,570,110.46694670766593,,
848.91,1446,83,120832,59,-68.35461177,1.0457377433776855,0.0003,0.079638671875,-0.0039589643783983774,0.9237931221723557,-0.561948130466044,0.2,0.005442342,580,3.5894350790418685,,
859.06,1463,83,122880,60,-66.69321546,4.9960761070251465,0.0003,0.031396484375,-0.0009311834794061725,0.8568439334630966,-0.7930458188056946,0.2,0.0026847464,590,20.248701031506062,,
876.52,1480,84,124928,61,-61.76959578,11.460210800170898,0.0003,0.02275390625,-0.0007513126329286024,0.5552688539028168,-0.8829246334731579,0.2,0.0057151103,600,140.1206499993801,,
887.14,1510,84,126976,62,-53.60977948,18.073570251464844,0.0003,0.08056640625,-0.0017646227570367046,0.8884159252047539,-0.8563789477571845,0.2,0.0077013555,610,37.84644861370325,,
900.17,1524,84,129024,63,-46.51040449,20.61981201171875,0.0003,0.024365234375,-0.0013391454849625006,0.8905627951025963,-0.7969751702621579,0.2,0.003708089,620,48.02429270744324,,
889.44,1537,85,131072,64,-37.27710344999999,13.728060722351074,0.0003,0.057763671875,-0.0005772376527602319,0.9186834841966629,-0.850727123208344,0.2,0.004275907,630,30.600627034902573,,
907.09,1553,85,133120,65,-32.92138271,23.682268142700195,0.0003,0.04599609375,-0.0029859367805329384,0.9498451873660088,-0.8264125367626548,0.2,0.0051749796,640,25.39113417863846,,
921.42,1580,85,135168,66,-30.53782303,7.833554744720459,0.0003,0.03623046875,-0.0028436923232220577,0.9416680559515953,-0.8206802768632769,0.2,0.003292906,650,27.746625880897046,,
933.79,1598,85,137216,67,-25.635700590000003,18.55290985107422,0.0003,0.051171875,-0.0026898713898845018,0.8688050955533981,-0.7806013969704508,0.2,0.004240834,660,35.57108632922173,,
946.5,1614,86,139264,68,-22.57019943,84.147705078125,0.0003,0.02548828125,-0.0037101639791217167,0.5092229843139648,-0.7836978431791067,0.2,0.0029934403,670,155.48512676656247,,
961.86,1629,86,141312,69,-20.67922208,214.65701293945312,0.0003,0.029345703125,-0.0021166537066164893,0.4883913993835449,-0.790513402596116,0.2,0.004151823,680,138.4933794438839,,
973.22,1648,86,143360,70,-17.619252559999993,48.3291130065918,0.0003,0.12939453125,-0.003054695088940207,0.6378373503684998,-0.6840567335486412,0.2,0.011046486,690,48.90775800645351,,
953.03,1679,86,145408,71,-14.595869449999995,13.555245399475098,0.0003,0.062109375,-0.0030303694351459854,0.5269419848918915,-0.8095695162191987,0.2,0.013851672,700,108.13132058680057,,
916.96,1702,86,147456,72,-4.1241305299999995,11.695652961730957,0.0003,0.02822265625,-0.0008392093535803724,0.28250259160995483,-0.7953710632398725,0.2,0.00250059,710,154.79582754671574,,
903.36,1720,86,149504,73,-1.6087036800000005,13.290895462036133,0.0003,0.059326171875,-0.002328944578766823,0.8369816839694977,-0.7589877156540752,0.2,0.004123084,720,43.57666866779327,,
908.41,1739,87,151552,74,1.6641309599999987,94.12705993652344,0.0003,0.042333984375,-0.002349259857146535,-0.01586902141571045,-0.7950158132240176,0.2,0.0020496354,730,213.85304005593062,,
919.77,1767,86,153600,75,-1.5033138599999996,155.9601593017578,0.0003,0.02529296875,-0.0009129221070907079,0.47837650775909424,-0.6407035766169429,0.2,0.0028405653,740,117.60572116971016,,
929.19,1783,87,155648,76,5.310174440000001,63.79538345336914,0.0003,0.038037109375,-0.0022575321348995204,0.06922680139541626,-0.8002235701307654,0.2,0.003222621,750,201.04256383478642,,
919.54,1796,87,157696,77,9.730798710000002,66.83038330078125,0.0003,0.060302734375,-0.0033116848790086806,0.49661576747894287,-0.7846776511520147,0.2,0.007379214,760,116.61023293733597,,
900.65,1810,88,159744,78,17.52807228,19.291719436645508,0.0003,0.038330078125,-0.005868328118958743,0.5190602540969849,-0.6611544932238758,0.2,0.007597018,770,135.16211433708668,,
887.03,1824,88,161792,79,24.31313964,115.83245086669922,0.0003,0.035009765625,-0.0014390947555511957,0.38034260272979736,-0.7562651336193085,0.2,0.008670509,780,198.91128268539904,,
883.54,1852,88,163840,80,23.605833250000003,56.21841812133789,0.0003,0.04326171875,0.0003847133477393072,0.3541783094406128,-0.803646432608366,0.2,0.0072307885,790,156.3002945959568,,
865.28,1867,88,165888,81,30.070938120000005,33.06019592285156,0.0003,0.0490234375,-0.0054700231063179675,0.5202089250087738,-0.7693860845640301,0.2,0.004017628,800,143.6037875145674,,
859.55,1884,89,167936,82,29.359558290000006,60.18583297729492,0.0003,0.055419921875,-0.0023594952923303935,0.5934765636920929,-0.7393094515427947,0.2,0.003708147,810,124.60089368224143,,
845.53,1899,89,169984,83,39.126992660000006,123.104736328125,0.0003,0.048779296875,-0.0027792654422228225,-0.38969457149505615,-0.7234145659953356,0.2,0.006166501,820,117.35367988348007,,
798.45,1913,89,172032,84,52.54127718999999,25.552947998046875,0.0003,0.05703125,-0.0018605930592457299,0.7926685363054276,-0.6884043017402292,0.2,0.005830668,830,56.015685737133026,,
760.06,1929,90,174080,85,66.30245115999999,33.637176513671875,0.0003,0.04833984375,0.00021152963818167337,0.7428094744682312,-0.7321785939857364,0.2,0.0057008862,840,94.54727164208889,,
731.86,1944,90,176128,86,70.98476176999999,84.88499450683594,0.0003,0.031689453125,-0.0021925830391410273,0.6523480117321014,-0.7106896387413144,0.2,0.0059577483,850,100.2300509929657,,
712.7,1963,90,178176,87,72.76110286,29.766761779785156,0.0003,0.032275390625,-0.0019976844887423795,0.7792435884475708,-0.7347587130963802,0.2,0.0042800303,860,38.93342076987028,,
692.44,1980,91,180224,88,74.6461166,113.37613677978516,0.0003,0.033251953125,-0.003103328519500792,0.520083099603653,-0.6731512675061821,0.2,0.003659013,870,147.28248309493065,,
679.92,1994,91,182272,89,72.52330322,47.04558563232422,0.0003,0.062353515625,-0.00431834242590412,0.5333888530731201,-0.6930083811283112,0.2,0.005201746,880,153.6192308098078,,
639.3,2009,91,184320,90,77.64182775,26.716920852661133,0.0003,0.039794921875,-0.003682014604419237,0.32127845287323,-0.6768400428816677,0.2,0.007761213,890,148.57192015051842,,
630.02,2023,92,186368,91,77.28924131,65.6340560913086,0.0003,0.0716796875,-0.0038235306419664994,0.6866267919540405,-0.7172981821000576,0.2,0.0063281376,900,104.52285868227482,,
623.71,2039,92,188416,92,70.6661228,38.769493103027344,0.0003,0.0673828125,-0.0016047219090978616,0.6572476029396057,-0.7117481915280223,0.2,0.006281624,910,101.59857707470655,,
611.14,2054,92,190464,93,65.37991350000001,86.61827087402344,0.0003,0.037451171875,-0.0026297032214642967,0.5614409148693085,-0.7191410318017006,0.2,0.0057743806,920,208.45723598599434,,
605.2,2069,93,192512,94,66.90177503,153.1184539794922,0.0003,0.0380859375,-0.0021852720194146967,0.6856233775615692,-0.7515492094680667,0.2,0.0033726594,930,184.58254491090776,,
594.43,2085,93,194560,95,64.4011939,5.689668655395508,0.0003,0.06015625,-0.0032388294646807482,0.8051257729530334,-0.7224936364218593,0.2,0.005152904,940,43.04034957289696,,
594.43,2105,93,196608,96,64.4011939,40.55710220336914,0.0003,0.03154296875,-0.007459535502857761,0.7392957806587219,-0.7204009778797626,0.2,0.0036290984,950,141.70598709881307,,
615.05,2126,93,198656,97,61.058488180000005,0.4236207902431488,0.0003,0.317724609375,-0.006968127272557467,-0.03603172302246094,-0.6725425768643618,0.2,0.035111103,960,4.339095281809568,,
,,,200000,,,5.563093662261963,0.0003,0.135693359375,-0.0036726062040543183,0.8150480836629868,-0.6862353557720781,0.2,0.019440787,970,21.470446720719337,593.4,46.20448510152467
614.62,2155,93,200704,98,65.70369915,,,,,,,,,,,,
606.29,2171,93,202752,99,69.62093615000002,26.8692684173584,0.0003,0.075048828125,-0.007659937442804221,0.7026864886283875,-0.7444968659430742,0.2,0.0077796583,980,61.1383893430233,,
603.67,2184,93,204800,100,78.30235451000001,4.644179821014404,0.0003,0.032470703125,-0.0026047054765513168,0.8566264510154724,-0.7290398387238384,0.2,0.0027841064,990,37.364415135979655,,
617.72,2198,94,206848,101,77.49013735000001,14.184806823730469,0.0003,0.0380859375,-0.0020321782511018684,0.9127429202198982,-0.7068737583234906,0.2,0.0030668005,1000,31.271150967478754,,
612.63,2212,94,208896,102,74.02256811000001,1.5535352230072021,0.0003,0.06845703125,-0.0026794610545039176,0.8384899646043777,-0.5035803542472422,0.2,0.0055501405,1010,18.558195643499495,,
609.57,2228,94,210944,103,78.10007625000001,66.98443603515625,0.0003,0.037744140625,-0.003428567088121781,0.48801958560943604,-0.7279981153085828,0.2,0.0038129885,1020,159.14314449429511,,
600.3,2246,94,212992,104,85.19822349999998,14.507162094116211,0.0003,0.032275390625,-0.003706382265954744,0.771390289068222,-0.6643779210746288,0.2,0.0042835167,1030,63.406407944858074,,
599.63,2265,94,215040,105,88.76714425999998,16.016223907470703,0.0003,0.046240234375,-0.0036185061544529162,0.8739723861217499,-0.6957408471032978,0.2,0.0034715037,1040,28.493691065907477,,
