rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
0.05,8270,182.46154299999998,138,623.6,2512,1148605,274651,0.0001,1.0373058319091797,,
0.05,8279,180.90973382,138,617.25,2516,1150318,275079,0.0001,0.648061215877533,,
0.05,8292,176.12322987,139,621.03,2520,1153114,275778,0.0001,0.265152245759964,,
0.05,8303,176.77497475,139,618.96,2524,1155312,276327,0.0001,0.47109454870224,,
0.05,8312,177.53268624000003,139,614.87,2528,1157343,276835,0.0001,0.8698526620864868,,
0.05,8322,173.84171041000005,139,610.8,2532,1159368,277341,0.0001,0.2985007166862488,,
0.05,8335,170.54025131999995,139,604.23,2536,1161847,277961,0.0001,0.8503508567810059,,
0.05,8345,172.41377409999998,139,600.82,2540,1163862,278465,0.0001,0.37394270300865173,,
0.05,8364,167.78968321,139,609.41,2544,1166889,279222,0.0001,0.7186060547828674,,
0.05,8377,168.10118216000004,139,606.11,2548,1169025,279756,0.0001,0.36848485469818115,,
0.05,8399,164.14212447000003,139,606.93,2552,1171916,280478,0.0001,0.7778692245483398,,
0.05,8416,163.17639434999998,139,604.26,2556,1174207,281051,0.0001,0.3693944811820984,,
0.05,8428,164.54818568,139,610.78,2560,1176710,281677,0.0001,0.3624107539653778,,
0.05,8438,168.66963358,139,606.78,2564,1178863,282215,0.0001,0.4498193860054016,,
0.05,8448,169.20964658999998,139,601.49,2568,1181125,282781,0.0001,0.4583989381790161,,
0.05,8458,169.57364117,139,601.02,2572,1183417,283354,0.0001,6.357707500457764,,
0.05,8469,167.28976564999996,140,597.52,2576,1185741,283935,0.0001,0.33987411856651306,,
0.05,8480,167.87369564,140,598.16,2580,1188192,284547,0.0001,0.32911068201065063,,
0.05,8491,168.94921878000005,140,593.56,2584,1190287,285071,0.0001,0.336759477853775,,
0.05,8499,171.86862897999998,140,581.95,2588,1192121,285530,0.0001,0.3581773340702057,,
0.05,8509,171.5457445,140,579.04,2592,1194322,286080,0.0001,0.3857397735118866,,
0.05,8523,169.65826995999998,140,581.29,2596,1197177,286794,0.0001,0.27397364377975464,,
0.05,,,,,,1200000,287499,0.0001,2.517362117767334,832.6,133.45141340382594
0.05,8555,172.62044041,140,589.4,2600,1200573,287643,0.0001,9.808844566345215,,
0.05,8569,170.64811521000004,140,596.69,2604,1203084,288270,0.0001,2.802272319793701,,
0.05,8583,170.69662784,140,594.86,2608,1205030,288757,0.0001,2.639561414718628,,
0.05,8602,171.07592475000004,140,595.03,2612,1208108,289526,0.0001,0.41036877036094666,,
0.05,8618,171.85946114,140,605.87,2616,1210905,290226,0.0001,0.34718963503837585,,
0.05,8630,176.52028661,140,601.01,2620,1213215,290803,0.0001,0.38011080026626587,,
0.05,8641,177.16522202,140,600.24,2624,1215336,291333,0.0001,0.3305646479129791,,
0.05,8657,175.28039157999999,140,606.75,2628,1218018,292004,0.0001,1.0035113096237183,,
0.05,8666,177.62674572,140,604.16,2632,1219784,292445,0.0001,5.7225565910339355,,
0.05,8683,178.96104178999994,140,605.42,2636,1222389,293097,0.0001,0.31780701875686646,,
0.05,8705,177.01366062,140,618.53,2640,1225715,293928,0.0001,2.2364964485168457,,
0.05,8736,175.65742327,140,626.84,2644,1229573,294893,0.0001,0.5526425838470459,,
0.05,8747,175.89879022999997,140,626.62,2648,1231687,295421,0.0001,0.5803108215332031,,
0.05,8757,180.88006925,140,620.49,2652,1233965,295991,0.0001,0.465718537569046,,
0.05,8774,179.79769798,140,628.19,2656,1237026,296756,0.0001,0.857789933681488,,
0.05,8841,166.54067349000002,140,672.87,2660,1243997,298499,0.0001,0.7982842922210693,,
0.05,8850,166.50712840999998,140,671.92,2664,1246055,299013,0.0001,4.883245944976807,,
0.05,8880,158.54351950999998,140,699.54,2668,1251079,300269,0.0001,1.472648024559021,,
0.05,8907,153.82884689,140,716.93,2672,1255110,301277,0.0001,0.39520055055618286,,
0.05,8951,146.39995861000003,140,753.65,2676,1261106,302776,0.0001,0.3503197431564331,,
0.05,8971,139.67032773000003,140,759.67,2680,1264159,303539,0.0001,0.7151185870170593,,
0.05,8985,137.75863163999998,141,766.84,2684,1266971,304242,0.0001,0.5649058222770691,,
0.05,8997,136.52353777000002,141,776.08,2688,1269729,304932,0.0001,0.3444586396217346,,
0.05,9042,131.83325308,140,798.4,2692,1274162,306040,0.0001,1.6186604499816895,,
0.05,9053,134.20649121999998,141,793.22,2696,1276499,306624,0.0001,0.33305346965789795,,
0.05,9075,131.09058148999998,141,794.83,2700,1280056,307513,0.0001,3.93375563621521,,
0.05,9091,125.67683750999998,141,799.96,2704,1283080,308269,0.0001,1.8019095659255981,,
0.05,9143,112.51296925999999,140,837.09,2708,1288739,309684,0.0001,0.3701646625995636,,
