time/time_elapsed,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
241,101889,421,824,245.4,-123.08628811999998,0.5160272500000005,0.0001,3.90368390083313,12972,,
242,102441,422,828,244.96,-120.48406383999998,0.51340525,0.0001,0.8527563810348511,13110,,
244,103525,423,832,250.38,-119.65357628,0.5082562499999996,0.0001,3.0271902084350586,13381,,
245,104144,424,836,251.66,-116.63339983999998,0.505316,0.0001,0.7673694491386414,13535,,
246,104959,426,840,254.03,-115.76822248,0.5014447499999999,0.0001,0.645950973033905,13739,,
247,105847,427,844,257.85,-112.30932331,0.49722674999999994,0.0001,0.8022248148918152,13961,,
248,106440,429,848,257.21,-111.25938608,0.49440999999999957,0.0001,0.6555088758468628,14109,,
273,112402,411,852,309.71,-116.41235211000001,0.46609050000000063,0.0001,0.9393565654754639,15600,,
274,113106,412,856,311.77,-113.42990132000001,0.4627465000000004,0.0001,1.7228857278823853,15776,,
275,113942,414,860,315.74,-109.31631578999999,0.4587755000000001,0.0001,0.8864264488220215,15985,,
277,115187,415,864,294.05,-106.79088239,0.4528617500000004,0.0001,0.39810290932655334,16296,,
277,115981,417,868,295.55,-106.54192194000001,0.4490902499999996,0.0001,1.676647424697876,16495,,
279,117097,418,872,298.35,-107.99321832999998,0.44378925,0.0001,0.29575154185295105,16774,,
280,117921,420,876,299.84,-104.68496093,0.4398752500000003,0.0001,0.3214304447174072,16980,,
282,119221,421,880,307.92,-103.04869516999999,0.43370025,0.0001,6.737913131713867,17305,,
294,123426,419,884,344.28,-103.62188715999999,0.4137264999999999,0.0001,3.6333792209625244,18356,,
302,127094,420,888,375.0,-101.79421167000001,0.3963034999999998,0.0001,6.6040778160095215,19273,,
310,130998,422,892,400.64,-102.6180648,0.37775950000000025,0.0001,0.3842903971672058,20249,,
323,135996,420,896,416.07,-102.08101265,0.354019,0.0001,1.9673396348953247,21498,,
346,140328,404,900,454.38,-102.33506902,0.333442,0.0001,3.8991150856018066,22581,,
359,144765,403,904,490.85,-102.42588284999998,0.31236624999999985,0.0001,0.5713862776756287,23691,,
387,152437,393,908,533.44,-99.99590198,0.2759242500000004,0.0001,0.444193959236145,25609,,
424,158615,373,912,588.12,-98.94990318999999,0.2465787500000004,0.0001,0.8783778548240662,27153,,
454,167375,368,916,666.67,-98.18408267999999,0.2049687499999998,0.0001,0.8064042329788208,29343,,
504,177915,352,920,766.34,-109.43252896,0.1549037499999999,0.0001,0.4311937689781189,31978,,
560,188822,337,924,869.33,-123.11836931999999,0.1030954999999999,0.0001,9.511244773864746,34705,,
,200000,,,,,0.05000474999999993,0.0001,0.6219033002853394,37499,-412.2288785854791,3000.0
702,203000,288,928,1005.59,-140.77077168999998,0.05,0.0001,0.6659640669822693,38249,,
745,215000,288,932,1114.75,-154.59831351,0.05,0.0001,0.8211623430252075,41249,,
808,227000,280,936,1228.56,-169.08552359,0.05,0.0001,3.675873279571533,44249,,
868,238446,274,940,1334.87,-180.40320021000002,0.05,0.0001,0.3585713505744934,47111,,
922,248815,269,944,1429.68,-189.55708993999997,0.05,0.0001,5.121691703796387,49703,,
991,259743,262,948,1533.03,-202.65277210999997,0.05,0.0001,0.31590309739112854,52435,,
1038,268625,258,952,1562.23,-201.46579832,0.05,0.0001,0.4228793680667877,54656,,
1077,275336,255,956,1622.3,-199.57435930999998,0.05,0.0001,0.6553739905357361,56333,,
1126,283680,251,960,1697.38,-202.87270597999995,0.05,0.0001,0.6154038906097412,58419,,
1163,289395,248,964,1742.08,-201.51002352,0.05,0.0001,1.2557088136672974,59848,,
1181,293359,248,968,1773.78,-195.45454034000002,0.05,0.0001,0.9201693534851074,60839,,
1188,296276,249,972,1791.79,-192.48056865,0.05,0.0001,0.6639503836631775,61568,,
,300000,,,,,0.05,0.0001,1.8143953084945679,62499,87.6340746898363,694.6
1218,300576,246,976,1826.55,-186.2687156,0.05,0.0001,0.42106199264526367,62643,,
1241,305520,246,980,1862.99,-181.23991912000005,0.05,0.0001,0.40187257528305054,63879,,
1254,308776,246,984,1853.5,-174.51389093000006,0.05,0.0001,0.7154792547225952,64693,,
1259,310838,246,988,1837.44,-170.84790919000002,0.05,0.0001,1.5522273778915405,65209,,
1264,313513,247,992,1825.15,-171.66614220999998,0.05,0.0001,0.7400595545768738,65878,,
1270,315658,248,996,1796.62,-163.90230523,0.05,0.0001,1.7614983320236206,66414,,
1289,318884,247,1000,1785.56,-159.67731216,0.05,0.0001,0.4726925790309906,67220,,
1293,320662,247,1004,1758.97,-157.20255423999998,0.05,0.0001,0.5917989611625671,67665,,
1298,322529,248,1008,1700.92,-152.88104454,0.05,0.0001,0.5714325904846191,68132,,
1305,324712,248,1012,1660.97,-154.76440903999998,0.05,0.0001,0.6891109943389893,68677,,
1316,327446,248,1016,1600.71,-146.29775446999997,0.05,0.0001,0.7446298599243164,69361,,
1320,329526,249,1020,1516.11,-131.9010846,0.05,0.0001,1.7999311685562134,69881,,
1324,331845,250,1024,1430.23,-109.08733989999999,0.05,0.0001,0.49450814723968506,70461,,
1332,334574,251,1028,1315.74,-86.77968633,0.05,0.0001,0.5318080186843872,71143,,
1337,336680,251,1032,1216.8,-69.96831568,0.05,0.0001,0.33332622051239014,71669,,
1343,338579,251,1036,1115.79,-51.919263019999995,0.05,0.0001,0.42435264587402344,72144,,
1346,340098,252,1040,1016.52,-37.495241060000005,0.05,0.0001,0.7146421670913696,72524,,
1360,342178,251,1044,933.63,-23.193053259999996,0.05,0.0001,0.5018756985664368,73044,,
1367,344326,251,1048,845.83,-1.9778583799999998,0.05,0.0001,0.36018621921539307,73581,,
1370,346129,252,1052,775.04,8.05502298,0.05,0.0001,0.43694552779197693,74032,,
1375,348230,253,1056,728.94,11.589528290000002,0.05,0.0001,0.2628031075000763,74557,,
1382,350595,253,1060,669.15,15.905159780000002,0.05,0.0001,0.3828182518482208,75148,,
1384,351865,254,1064,624.7,20.19275692,0.05,0.0001,0.7485981583595276,75466,,
1388,353245,254,1068,598.86,19.62157681,0.05,0.0001,1.4133609533309937,75811,,
1391,354707,254,1072,584.31,19.855092669999998,0.05,0.0001,0.23187188804149628,76176,,
1393,356278,255,1076,557.02,17.03765296,0.05,0.0001,0.13163407146930695,76569,,
1398,358160,256,1080,526.4,17.59442811,0.05,0.0001,1.372248888015747,77039,,
1402,359837,256,1084,510.61,14.255298220000004,0.05,0.0001,0.47362083196640015,77459,,
1405,361420,257,1088,505.82,14.68137289,0.05,0.0001,0.32444098591804504,77854,,
1406,362747,257,1092,492.34,15.494314089999998,0.05,0.0001,3.691847085952759,78186,,
1412,364932,258,1096,492.74,19.355796870000002,0.05,0.0001,3.164376974105835,78732,,
1414,366141,258,1100,472.57,18.716242660000002,0.05,0.0001,0.877731442451477,79035,,
1420,367849,259,1104,471.87,19.764716410000002,0.05,0.0001,0.9819366335868835,79462,,
1435,369830,257,1108,473.01,16.406826390000003,0.05,0.0001,13.777107238769531,79957,,
1439,371040,257,1112,463.28,19.30231946,0.05,0.0001,0.39381542801856995,80259,,
1443,372587,258,1116,451.41,11.24313251,0.05,0.0001,0.3628797233104706,80646,,
1446,373955,258,1120,444.29,8.71731193,0.05,0.0001,0.7381656169891357,80988,,
1450,375936,259,1124,440.91,6.871716399999997,0.05,0.0001,0.22470752894878387,81483,,
1453,377480,259,1128,429.06,6.091173789999999,0.05,0.0001,3.221687078475952,81869,,
1456,379011,260,1132,423.31,7.56925877,0.05,0.0001,0.9958730340003967,82252,,
1459,380491,260,1136,419.12,11.56128242,0.05,0.0001,1.3573061227798462,82622,,
1463,382109,261,1140,420.11,14.994964509999997,0.05,0.0001,1.3912802934646606,83027,,
1466,383858,261,1144,416.8,12.152137039999996,0.05,0.0001,0.3955422043800354,83464,,
1470,385150,261,1148,408.24,7.484834519999997,0.05,0.0001,1.6336617469787598,83787,,
1474,387243,262,1152,411.14,10.183659609999998,0.05,0.0001,0.5755021572113037,84310,,
1477,388880,263,1156,406.5,11.38850931,0.05,0.0001,0.36345767974853516,84719,,
